PLAYER,TEAM,AGE,FGM,FGA,FGPercent
Langston Galloway,DET,26,0.1,0.3,46.7
Larry Drew II,NOP,28,0.2,0.3,66.7
Larry Nance Jr.,CLE,25,3.0,4.1,71.8
Lauri Markkanen,CHI,20,2.3,3.8,62.5
LeBron James,CLE,33,6.7,9.1,73.8
London Perrantes,CLE,23,0.1,0.2,50.0
Lonzo Ball,LAL,20,1.6,3.4,46.0
Lorenzo Brown,TOR,27,0.2,0.2,66.7
Lou Williams,LAC,31,2.5,4.5,56.6
Luc Mbah a Moute,HOU,31,1.7,2.6,64.2
Lucas Nogueira,TOR,25,0.9,1.2,70.4
Luis Montero,DET,24,0.0,0.5,0.0
Luke Babbitt,MIA,28,0.2,0.3,58.3
Luke Kennard,DET,21,0.5,1.0,53.7
Luke Kornet,NYK,22,0.7,1.1,62.5
Luol Deng,LAL,32,1.0,2.0,50.0
Malachi Richardson,TOR,22,0.3,0.9,29.2
Malcolm Brogdon,MIL,25,2.8,4.6,60.5
Malcolm Delaney,ATL,29,0.5,1.2,46.0
Malcolm Miller,TOR,25,0.4,0.5,71.4
Malik Beasley,DEN,21,0.5,0.9,55.6
Malik Monk,CHA,20,0.4,0.8,51.1
Mangok Mathiang,CHA,25,0.8,1.5,50.0
Manu Ginobili,SAS,40,1.4,2.4,61.1
MarShon Brooks,MEM,29,1.5,3.5,42.9
Marc Gasol,MEM,33,1.6,2.9,57.4
Marcin Gortat,WAS,34,2.1,3.5,61.1
Marco Belinelli,PHI,32,0.9,1.5,63.0
Marcus Georges-Hunt,MIN,24,0.4,0.6,59.1
Marcus Morris,BOS,28,1.1,2.0,54.9
Marcus Paige,CHA,24,0.0,1.0,0.0
Marcus Smart,BOS,24,1.1,2.2,51.3
Mario Chalmers,MEM,31,1.0,2.0,50.8
Mario Hezonja,ORL,23,1.6,2.5,63.5
Markel Brown,HOU,26,0.0,0.3,0.0
Markelle Fultz,PHI,19,1.6,3.4,48.1
Markieff Morris,WAS,28,1.5,2.3,66.2
Marquese Chriss,PHX,20,1.6,2.6,61.0
Marquis Teague,MEM,25,1.0,1.0,100
Marreese Speights,ORL,30,0.4,0.8,47.5
Marshall Plumlee,MIL,25,0.1,0.4,33.3
Marvin Williams,CHA,31,1.0,1.9,55.4
Mason Plumlee,DEN,28,2.7,4.0,66.3
Matt Costello,SAS,24,0.5,1.0,50.0
Matt Williams Jr.,MIA,24,0.0,0.0,0.0
Matthew Dellavedova,MIL,27,0.2,0.5,42.1
Maurice Harkless,POR,24,1.5,2.5,58.0
Maxi Kleber,DAL,26,1.2,1.8,66.4
Meyers Leonard,POR,26,0.6,0.8,76.2
Michael Beasley,NYK,29,2.9,4.5,64.8
Michael Carter-Williams,CHA,26,0.8,1.7,47.2
Michael Kidd-Gilchrist,CHA,24,2.3,3.6,63.5
Mike Conley,MEM,30,2.3,4.3,52.9
Mike James,NOP,27,1.5,2.9,52.4
Mike Muscala,ATL,26,1.1,1.6,67.5
Mike Scott,WAS,29,1.0,1.5,66.4
Miles Plumlee,ATL,29,1.7,2.5,66.1
Milos Teodosic,LAC,31,0.4,0.6,64.3
Milton Doyle,BKN,24,0.3,0.8,40.0
Mindaugas Kuzminskas,NYK,28,0.0,1.0,0.0
Mirza Teletovic,MIL,32,0.1,0.4,25.0
Monte Morris,DEN,22,1.5,2.0,75.0
Montrezl Harrell,LAC,24,3.7,5.2,71.3
Myke Henry,MEM,25,1.0,1.7,60.0
Myles Turner,IND,22,1.9,3.1,60.7
Nate Wolters,UTA,26,0.0,0.0,0.0
Naz Mitrou-Long,UTA,24,0.0,0.0,0.0
Nemanja Bjelica,MIN,29,1.1,1.8,61.2
Nene,HOU,35,2.1,3.4,63.3
Nerlens Noel,DAL,23,1.4,2.6,55.4
Nick Collison,OKC,37,0.8,1.2,73.3
Nick Young,GSW,32,0.3,0.5,70.3
Nicolas Batum,CHA,29,0.8,1.3,66.7
Nicolas Brussino,ATL,25,0.0,0.0,0.0
Nigel Hayes,SAC,23,0.2,0.4,50.0
Nik Stauskas,BKN,24,0.3,0.6,47.6
Nikola Jokic,DEN,23,2.9,4.7,62.0
Nikola Mirotic,NOP,27,1.6,2.6,61.5
Nikola Vucevic,ORL,27,2.8,3.9,71.5
Noah Vonleh,CHI,22,1.1,1.9,56.9
Norman Powell,TOR,24,1.1,2.0,53.2
OG Anunoby,TOR,20,1.2,1.8,64.8
Okaro White,CLE,25,0.4,0.8,50.0
Omer Asik,CHI,31,0.4,0.9,38.5
Omri Casspi,GSW,29,1.6,2.3,68.0
Otto Porter Jr.,WAS,24,1.6,2.4,67.2
PJ Dozier,OKC,21,0.5,0.5,100
PJ Tucker,HOU,32,0.5,1.0,53.8
Pascal Siakam,TOR,24,2.3,3.3,70.6
Pat Connaughton,POR,25,0.8,1.3,56.9
Patrick Beverley,LAC,29,1.7,3.4,51.4
Patrick McCaw,GSW,22,1.0,1.7,61.3
Patrick Patterson,OKC,29,0.3,0.6,52.2
Patty Mills,SAS,29,0.6,1.1,55.4
Pau Gasol,SAS,37,2.0,3.1,63.8
Paul George,OKC,27,2.4,3.9,61.6
Paul Millsap,DEN,33,2.3,3.7,62.0
Paul Zipser,CHI,24,0.5,0.8,55.6
Quincy Acy,BKN,27,0.3,0.6,43.9
Quincy Pondexter,CHI,30,0.4,0.8,50.0
Quinn Cook,GSW,25,0.8,1.6,50.0
RJ Hunter,HOU,24,0.0,0.3,0.0
Rajon Rondo,NOP,32,2.1,3.6,56.7
Ramon Sessions,WAS,31,0.9,1.8,47.9
Rashad Vaughn,ORL,21,0.2,0.3,50.0
Raul Neto,UTA,25,0.9,1.6,57.4
Raymond Felton,OKC,33,0.7,1.3,54.5
Reggie Bullock,DET,27,1.4,2.2,65.4
Reggie Hearn,DET,26,0.0,0.0,0.0
Reggie Jackson,DET,27,1.6,3.2,50.0
Richard Jefferson,DEN,37,0.2,0.4,50.0
Richaun Holmes,PHI,24,2.0,2.8,70.7
Ricky Rubio,UTA,27,1.1,2.3,48.1
Robert Covington,PHI,27,1.4,2.3,60.1
Robin Lopez,CHI,30,3.0,4.5,65.7
Rodney Hood,CLE,25,0.9,1.6,58.2
Rodney McGruder,MIA,26,0.9,1.2,75.0
Rodney Purvis,ORL,24,0.3,0.5,60.0
Ron Baker,NYK,25,0.3,0.7,40.0
Rondae Hollis-Jefferson,BKN,23,2.9,5.1,56.8
Royce O'Neale,UTA,24,0.8,1.6,49.0
Rudy Gay,SAS,31,1.8,2.9,63.6
Rudy Gobert,UTA,25,4.7,6.9,68.4
Russell Westbrook,OKC,29,5.0,8.6,58.3
Ryan Anderson,HOU,29,0.7,1.2,59.0
Ryan Arcidiacono,CHI,24,0.2,0.2,100
Salah Mejri,DAL,31,1.4,2.0,70.4
Sam Dekker,LAC,23,1.3,2.1,63.4
Scotty Hopson,DAL,28,0.0,1.0,0.0
Sean Kilpatrick,CHI,28,0.7,1.3,51.7
Semi Ojeleye,BOS,23,0.2,0.5,41.9
Serge Ibaka,TOR,28,1.4,2.1,65.1
Shabazz Muhammad,MIL,25,1.1,2.0,56.4
Shabazz Napier,POR,26,0.8,1.6,50.9
Shane Larkin,BOS,25,0.6,1.1,52.7
Shaquille Harrison,PHX,24,1.7,3.2,54.1
Shaun Livingston,GSW,32,0.9,1.3,67.4
Shelvin Mack,ORL,27,1.1,1.9,59.5
Sindarius Thornwell,LAC,23,0.7,1.6,46.9
Skal Labissiere,SAC,22,1.6,2.5,64.6
Solomon Hill,NOP,27,0.6,1.0,57.1
Spencer Dinwiddie,BKN,24,1.6,2.8,56.1
Stanley Johnson,DET,21,1.2,2.2,55.8
Stephen Curry,GSW,30,2.3,3.6,62.7
Sterling Brown,MIL,23,0.6,1.3,49.2
Steven Adams,OKC,24,4.9,7.3,66.7
T.J. McConnell,PHI,26,1.0,1.8,58.9
TJ Leaf,IND,20,0.6,1.1,59.6
TJ Warren,PHX,24,4.6,7.0,65.2
Taj Gibson,MIN,32,3.6,5.0,71.8
Tarik Black,HOU,26,1.4,2.1,67.7
Taurean Prince,ATL,24,1.9,3.4,56.9
Terrance Ferguson,OKC,19,0.4,0.5,67.7
Terrence Ross,ORL,27,0.9,1.3,71.4
Terry Rozier,BOS,24,1.1,2.4,48.6
Thabo Sefolosha,UTA,33,1.6,2.4,66.7
Thaddeus Young,IND,29,3.1,5.1,60.5
Thomas Bryant,LAL,20,0.1,0.1,100
Thon Maker,MIL,21,0.8,1.5,51.4
Tim Frazier,WAS,27,0.4,0.7,61.1
Tim Hardaway Jr.,NYK,26,2.4,3.9,59.9
Tim Quarterman,HOU,23,0.0,0.0,0.0
Timofey Mozgov,BKN,31,1.3,2.0,65.5
Timothe Luwawu-Cabarrot,PHI,22,0.8,1.6,50.6
Tobias Harris,LAC,25,2.3,4.0,57.7
Tomas Satoransky,WAS,26,1.1,1.7,63.5
Tony Allen,NOP,36,1.7,3.0,56.1
Tony Bradley,UTA,20,0.3,0.5,50.0
Tony Parker,SAS,35,1.8,2.9,61.4
Tony Snell,MIL,26,0.6,1.1,58.4
Torrey Craig,DEN,27,1.1,1.9,59.1
Travis Wear,LAL,27,0.1,0.1,100
Treveon Graham,CHA,24,0.5,1.0,50.8
Trevor Ariza,HOU,32,1.4,2.4,57.8
Trevor Booker,IND,30,1.7,2.7,60.9
Trey Burke,NYK,25,1.0,1.5,66.7
Trey Lyles,DEN,22,1.9,3.0,62.4
Trey McKinney-Jones,IND,27,0.0,0.0,0.0
Tristan Thompson,CLE,27,2.2,3.4,65.0
Troy Daniels,PHX,26,0.2,0.4,48.3
Troy Williams,NYK,23,1.7,2.9,60.0
Tyler Cavanaugh,ATL,24,0.6,1.1,57.1
Tyler Dorsey,ATL,22,0.8,1.5,50.7
Tyler Ennis,LAL,23,0.9,1.7,53.1
Tyler Johnson,MIA,25,1.4,2.3,59.9
Tyler Lydon,DEN,21,0.0,0.0,0.0
Tyler Ulis,PHX,22,0.5,1.3,39.5
Tyler Zeller,MIL,28,2.1,3.3,63.4
Tyreke Evans,MEM,28,3.9,7.6,51.9
Tyrone Wallace,LAC,23,2.2,4.0,56.0
Tyson Chandler,PHX,35,2.6,4.0,64.8
Tyus Jones,MIN,21,0.7,1.2,61.1
Udonis Haslem,MIA,37,0.1,0.1,100
Vander Blue,LAL,25,0.2,0.6,33.3
Victor Oladipo,IND,25,3.5,5.3,65.1
Vince Carter,SAC,41,0.5,0.9,56.0
Vincent Hunter,MEM,23,0.5,0.8,66.7
Wade Baldwin IV,POR,22,0.5,0.5,100
Walter Lemon Jr.,NOP,25,1.0,2.4,41.7
Wayne Ellington,MIA,30,0.5,0.8,60.0
Wayne Selden,MEM,23,1.0,1.9,52.2
Wes Iwundu,ORL,23,0.8,1.4,61.3
Wesley Johnson,LAC,30,0.5,0.9,59.0
Wesley Matthews,DAL,31,0.6,1.3,48.2
Will Barton,DEN,27,2.8,4.7,60.3
Willie Cauley-Stein,SAC,24,3.5,5.7,61.1
Willie Reed,DET,27,1.4,2.0,70.7
Willy Hernangomez,CHA,23,1.3,2.1,64.0
Wilson Chandler,DEN,30,2.0,3.2,60.8
Xavier Munford,MIL,25,0.0,0.2,0.0
Xavier Rathan-Mayes,MEM,23,1.0,1.4,71.4
