PLAYER,TEAM,AGE,FGM,FGA,FGPercent
Gordon Hayward,BOS,28,0.0,0.0,0.0
Gorgui Dieng,MIN,28,0.5,1.3,42.6
Greg Monroe,BOS,27,0.0,0.1,33.3
Guerschon Yabusele,BOS,22,0.1,0.4,18.2
Harrison Barnes,DAL,25,1.2,2.9,40.4
Hassan Whiteside,MIA,28,0.0,0.1,28.6
Henry Ellenson,DET,21,0.2,0.6,35.7
Ian Clark,NOP,27,0.5,1.4,38.0
Ian Mahinmi,WAS,31,0.0,0.0,0.0
Ike Anigbogu,IND,19,0.0,0.0,0.0
Iman Shumpert,SAC,27,0.2,1.4,15.8
Isaiah Canaan,PHX,26,0.5,1.2,43.5
Isaiah Hicks,NYK,23,0.2,0.4,40.0
Isaiah Taylor,ATL,23,0.3,0.8,38.8
Isaiah Thomas,LAL,29,0.7,2.2,33.3
Isaiah Whitehead,BKN,23,0.1,0.3,20.0
Ish Smith,DET,29,0.3,0.8,35.4
Ivan Rabb,MEM,21,0.1,0.2,50.0
Ivica Zubac,LAL,21,0.0,0.0,0.0
J.J. Barea,DAL,33,0.6,1.6,38.5
JJ Redick,PHI,33,1.6,3.5,47.1
JR Smith,CLE,32,1.3,2.8,45.9
JaKarr Sampson,SAC,25,0.2,0.4,42.9
JaMychal Green,MEM,27,0.5,1.7,31.5
JaVale McGee,GSW,30,0.0,0.0,50.0
Jabari Bird,BOS,23,0.0,0.0,0.0
Jabari Parker,MIL,23,0.5,1.2,43.3
Jack Cooley,SAC,26,0.0,0.3,0.0
Jacob Pullen,PHI,28,0.0,0.0,0.0
Jacob Wiley,BKN,23,0.3,0.5,50.0
Jae Crowder,UTA,27,0.9,2.6,33.9
Jahlil Okafor,BKN,22,0.0,0.1,0.0
Jake Layman,POR,24,0.1,0.4,16.7
Jakob Poeltl,TOR,22,0.0,0.0,50.0
Jalen Jones,DAL,24,0.2,0.5,33.3
Jamal Crawford,MIN,38,1.1,2.6,42.6
Jamal Murray,DEN,21,1.0,2.6,38.4
Jameel Warney,DAL,24,0.0,0.0,0.0
Jameer Nelson,DET,36,0.6,1.5,37.7
Jamel Artis,ORL,25,0.0,0.5,0.0
James Ennis III,DET,27,0.4,1.2,33.3
James Harden,HOU,28,0.9,2.1,41.1
James Johnson,MIA,31,0.5,1.5,33.3
James Michael McAdoo,PHI,25,0.3,0.7,50.0
James Webb III,BKN,24,0.4,1.8,21.4
James Young,PHI,22,0.2,0.7,25.0
Jamil Wilson,LAC,27,0.5,1.1,47.1
Jared Dudley,PHX,32,0.3,0.7,43.3
Jarell Eddie,CHI,26,0.0,0.0,0.0
Jarell Martin,MEM,23,0.5,1.4,37.6
Jarrett Allen,BKN,19,0.1,0.2,35.7
Jarrett Jack,NYK,34,0.5,1.4,39.2
Jason Smith,WAS,32,0.2,0.8,26.1
Jason Terry,MIL,40,0.5,1.4,37.1
Jawun Evans,LAC,21,0.2,0.9,25.6
Jaylen Brown,BOS,21,0.9,2.5,36.6
Jaylen Morris,ATL,22,0.3,1.3,25.0
Jayson Tatum,BOS,20,1.0,2.0,50.3
Jeff Green,CLE,31,0.4,1.3,28.6
Jeff Teague,MIN,29,0.6,1.4,41.3
Jeff Withey,DAL,28,0.1,0.7,16.7
Jerami Grant,OKC,24,0.3,0.9,30.1
Jeremy Lamb,CHA,25,0.5,1.3,39.2
Jeremy Lin,BKN,29,0.0,0.0,0.0
Jerian Grant,CHI,25,0.4,1.0,40.3
Jerryd Bayless,PHI,29,0.7,1.8,38.0
Jimmy Butler,MIN,28,0.8,2.3,36.2
Joakim Noah,NYK,33,0.0,0.0,0.0
Jodie Meeks,WAS,30,0.2,0.9,24.6
Joe Harris,BKN,26,0.8,2.0,37.7
Joe Ingles,UTA,30,1.3,3.0,43.5
Joe Johnson,HOU,36,0.5,1.7,31.4
Joe Young,IND,25,0.3,0.6,46.2
Joel Bolomboy,MIL,24,0.0,0.0,0.0
Joel Embiid,PHI,24,0.5,1.0,43.9
Joffrey Lauvergne,SAS,26,0.0,0.1,0.0
John Collins,ATL,20,0.1,0.4,35.7
John Henson,MIL,27,0.1,0.2,36.4
John Holland,CLE,29,0.2,0.7,23.1
John Wall,WAS,27,0.4,1.4,30.9
Johnathan Motley,DAL,22,0.0,0.0,0.0
Johnny O'Bryant III,CHA,24,0.1,0.4,23.1
Jon Leuer,DET,28,0.0,0.3,0.0
Jonas Jerebko,UTA,31,0.6,1.4,44.3
Jonas Valanciunas,TOR,25,0.1,0.3,29.2
Jonathan Isaac,ORL,20,0.3,1.2,25.0
Jonathon Simmons,ORL,28,0.5,1.3,39.6
Jordan Bell,GSW,23,0.0,0.0,0.0
Jordan Clarkson,CLE,25,0.7,1.8,40.6
Jordan Crawford,NOP,29,0.5,1.0,50.0
Jordan Mickey,MIA,23,0.0,0.4,12.5
Jose Calderon,CLE,36,0.4,0.7,52.8
Josh Gray,PHX,24,0.2,1.6,12.5
Josh Hart,LAL,23,0.5,1.2,45.6
Josh Huestis,OKC,26,0.3,1.0,30.9
Josh Jackson,PHX,21,0.5,1.5,33.6
Josh Magette,ATL,28,0.2,0.5,50.0
Josh McRoberts,DAL,31,0.0,0.0,0.0
Josh Richardson,MIA,24,0.8,2.2,35.7
Josh Smith,NOP,32,0.0,0.0,0.0
Jrue Holiday,NOP,27,0.7,2.1,34.2
Juancho Hernangomez,DEN,22,0.5,1.2,37.0
Julius Randle,LAL,23,0.1,0.3,27.3
Julyan Stone,CHA,29,0.1,0.1,50.0
Justin Anderson,PHI,24,0.3,1.2,28.2
Justin Holiday,CHI,28,1.5,3.7,40.1
Justin Jackson,SAC,23,0.6,1.7,37.6
Justin Patton,MIN,20,0.0,0.0,0.0
Justise Winslow,MIA,22,0.6,1.5,39.6
Jusuf Nurkic,POR,23,0.4,0.9,39.7
Kadeem Allen,BOS,25,0.0,0.0,0.0
Karl-Anthony Towns,MIN,22,0.9,1.6,55.3
Kawhi Leonard,SAS,26,0.6,1.8,31.3
Kay Felder,DET,23,0.4,0.7,60.0
Kelly Olynyk,MIA,26,0.6,1.5,39.1
Kelly Oubre Jr.,WAS,22,0.6,1.8,31.2
Kemba Walker,CHA,27,0.7,1.7,43.1
Kenneth Faried,DEN,28,0.0,0.0,100
Kent Bazemore,ATL,28,1.2,2.7,43.4
Kentavious Caldwell-Pope,LAL,25,0.8,2.4,32.9
Kevin Durant,GSW,29,0.8,1.9,43.8
Kevin Love,CLE,29,1.0,2.6,39.6
Kevon Looney,GSW,22,0.1,0.1,50.0
Khem Birch,ORL,25,0.0,0.0,0.0
Khris Middleton,MIL,26,0.8,2.1,40.0
Klay Thompson,GSW,28,1.9,3.7,51.6
Kobi Simmons,MEM,20,0.1,0.7,11.8
Kosta Koufos,SAC,29,0.0,0.0,0.0
Kris Dunn,CHI,24,0.6,1.4,41.9
Kristaps Porzingis,NYK,22,0.6,1.5,41.1
Kyle Anderson,SAS,24,0.3,0.8,39.3
Kyle Collinsworth,DAL,26,0.0,0.3,14.3
Kyle Korver,CLE,37,1.0,2.3,44.4
Kyle Kuzma,LAL,22,0.7,2.4,31.6
Kyle Lowry,TOR,32,0.9,2.2,41.4
Kyle O'Quinn,NYK,28,0.1,0.4,32.1
Kyle Singler,OKC,29,0.2,0.5,40.0
Kyrie Irving,BOS,26,1.1,2.3,46.0
LaMarcus Aldridge,SAS,32,0.6,1.3,42.4
Lance Stephenson,IND,27,0.5,1.3,35.0
Lance Thomas,NYK,29,0.5,1.1,43.6
Langston Galloway,DET,26,0.5,1.4,38.4
Larry Drew II,NOP,28,0.1,0.4,33.3
Larry Nance Jr.,CLE,25,0.1,0.4,30.4
Lauri Markkanen,CHI,20,0.8,2.2,35.5
LeBron James,CLE,33,0.6,2.1,30.2
London Perrantes,CLE,23,0.0,0.1,0.0
Lonzo Ball,LAL,20,0.5,1.5,35.5
Lorenzo Brown,TOR,27,0.0,0.4,0.0
Lou Williams,LAC,31,1.0,2.8,36.6
Luc Mbah a Moute,HOU,31,0.6,1.9,34.0
Lucas Nogueira,TOR,25,0.0,0.2,14.3
Luis Montero,DET,24,0.0,0.0,0.0
Luke Babbitt,MIA,28,0.7,1.5,46.5
Luke Kennard,DET,21,0.4,1.0,41.2
Luke Kornet,NYK,22,0.2,0.8,25.0
Luol Deng,LAL,32,0.0,0.0,0.0
Malachi Richardson,TOR,22,0.2,1.0,19.2
Malcolm Brogdon,MIL,25,0.6,1.3,47.5
Malcolm Delaney,ATL,29,0.7,1.5,47.5
Malcolm Miller,TOR,25,0.2,0.7,30.0
Malik Beasley,DEN,21,0.3,0.9,32.7
Malik Monk,CHA,20,0.6,1.7,38.5
Mangok Mathiang,CHA,25,0.0,0.0,0.0
Manu Ginobili,SAS,40,0.5,1.3,38.3
MarShon Brooks,MEM,29,1.0,2.5,40.0
Marc Gasol,MEM,33,0.6,1.6,37.8
Marcin Gortat,WAS,34,0.0,0.0,0.0
Marco Belinelli,PHI,32,1.2,2.8,43.1
Marcus Georges-Hunt,MIN,24,0.0,0.3,12.5
Marcus Morris,BOS,28,0.8,1.9,43.3
Marcus Paige,CHA,24,1.0,1.5,66.7
Marcus Smart,BOS,24,0.5,1.5,35.8
