PLAYER,TEAM,AGE,MIN
Isaiah Taylor,ATL,23,16.6
Isaiah Thomas,LAL,29,26.9
Isaiah Whitehead,BKN,23,11.2
Ish Smith,DET,29,25.2
Ivan Rabb,MEM,21,12.1
J.J. Barea,DAL,33,23.5
JJ Redick,PHI,33,30.2
JR Smith,CLE,32,28.4
JaKarr Sampson,SAC,25,14.6
JaMychal Green,MEM,27,28.0
Jabari Parker,MIL,23,22.7
Jack Cooley,SAC,26,10.9
Jae Crowder,UTA,27,26.4
Jahlil Okafor,BKN,22,12.5
Jakob Poeltl,TOR,22,18.4
Jamal Crawford,MIN,38,20.6
Jamal Murray,DEN,21,31.3
Jameer Nelson,DET,36,20.3
Jamel Artis,ORL,25,12.6
James Ennis III,DET,27,22.9
James Harden,HOU,28,35.5
James Johnson,MIA,31,26.7
James Webb III,BKN,24,12.0
James Young,PHI,22,10.2
Jamil Wilson,LAC,27,18.3
Jared Dudley,PHX,32,13.9
Jarell Martin,MEM,23,22.8
Jarrett Allen,BKN,19,19.7
Jarrett Jack,NYK,34,25.6
Jason Terry,MIL,40,16.2
Jawun Evans,LAC,21,16.2
Jaylen Brown,BOS,21,30.7
Jaylen Morris,ATL,22,16.4
Jayson Tatum,BOS,20,30.6
Jeff Green,CLE,31,23.1
Jeff Teague,MIN,29,32.8
Jerami Grant,OKC,24,20.4
Jeremy Lamb,CHA,25,24.7
Jeremy Lin,BKN,29,25.2
Jerian Grant,CHI,25,22.5
Jerryd Bayless,PHI,29,23.7
Jimmy Butler,MIN,28,37.1
Jodie Meeks,WAS,30,14.8
Joe Harris,BKN,26,25.3
Joe Ingles,UTA,30,31.5
Joe Johnson,HOU,36,22.3
Joe Young,IND,25,10.4
Joel Embiid,PHI,24,30.3
Joffrey Lauvergne,SAS,26,10.1
John Collins,ATL,20,23.6
John Henson,MIL,27,25.9
John Wall,WAS,27,34.3
Johnny O'Bryant III,CHA,24,10.5
Jon Leuer,DET,28,17.1
Jonas Jerebko,UTA,31,15.3
Jonas Valanciunas,TOR,25,22.5
Jonathan Isaac,ORL,20,19.8
Jonathon Simmons,ORL,28,29.4
Jordan Bell,GSW,23,14.5
Jordan Clarkson,CLE,25,23.7
Jordan Crawford,NOP,29,18.7
Jordan Mickey,MIA,23,12.6
Jose Calderon,CLE,36,16.0
Josh Gray,PHX,24,17.3
Josh Hart,LAL,23,21.8
Josh Huestis,OKC,26,14.7
Josh Jackson,PHX,21,25.2
Josh Magette,ATL,28,11.6
Josh Richardson,MIA,24,33.4
Jrue Holiday,NOP,27,36.3
Juancho Hernangomez,DEN,22,11.5
Julius Randle,LAL,23,26.8
Justin Anderson,PHI,24,13.7
Justin Holiday,CHI,28,31.7
Justin Jackson,SAC,23,21.4
Justise Winslow,MIA,22,24.4
Jusuf Nurkic,POR,23,26.2
Karl-Anthony Towns,MIN,22,35.5
Kawhi Leonard,SAS,26,23.3
Kelly Olynyk,MIA,26,23.6
Kelly Oubre Jr.,WAS,22,27.5
Kemba Walker,CHA,27,34.6
Kenneth Faried,DEN,28,14.4
Kent Bazemore,ATL,28,27.5
Kentavious Caldwell-Pope,LAL,25,33.8
Kevin Durant,GSW,29,34.3
Kevin Love,CLE,29,27.7
Kevon Looney,GSW,22,13.2
Khem Birch,ORL,25,12.0
Khris Middleton,MIL,26,36.6
Klay Thompson,GSW,28,34.3
Kobi Simmons,MEM,20,18.4
Kosta Koufos,SAC,29,19.6
Kris Dunn,CHI,24,29.3
Kristaps Porzingis,NYK,22,32.4
Kyle Anderson,SAS,24,26.7
Kyle Collinsworth,DAL,26,13.8
Kyle Korver,CLE,37,21.8
Kyle Kuzma,LAL,22,31.1
Kyle Lowry,TOR,32,32.3
Kyle O'Quinn,NYK,28,17.5
Kyrie Irving,BOS,26,32.2
LaMarcus Aldridge,SAS,32,33.4
Lance Stephenson,IND,27,22.4
Lance Thomas,NYK,29,18.5
Langston Galloway,DET,26,14.5
Larry Nance Jr.,CLE,25,22.1
Lauri Markkanen,CHI,20,30.1
LeBron James,CLE,33,37.1
Lonzo Ball,LAL,20,34.2
Lou Williams,LAC,31,32.8
Luc Mbah a Moute,HOU,31,25.9
Luke Babbitt,MIA,28,14.2
Luke Kennard,DET,21,19.3
Luke Kornet,NYK,22,14.7
Luol Deng,LAL,32,13.1
Malachi Richardson,TOR,22,12.4
Malcolm Brogdon,MIL,25,30.5
Malcolm Delaney,ATL,29,18.8
Malik Monk,CHA,20,12.8
Manu Ginobili,SAS,40,19.9
MarShon Brooks,MEM,29,19.9
Marc Gasol,MEM,33,33.2
Marcin Gortat,WAS,34,25.4
Marco Belinelli,PHI,32,24.1
Marcus Morris,BOS,28,26.5
Marcus Smart,BOS,24,29.9
Mario Chalmers,MEM,31,21.8
Mario Hezonja,ORL,23,21.4
Markelle Fultz,PHI,19,17.4
Markieff Morris,WAS,28,27.1
Marquese Chriss,PHX,20,21.0
Marquis Teague,MEM,25,26.5
Marreese Speights,ORL,30,12.9
Marvin Williams,CHA,31,25.9
Mason Plumlee,DEN,28,19.7
Matthew Dellavedova,MIL,27,19.0
Maurice Harkless,POR,24,21.4
Maxi Kleber,DAL,26,16.6
Michael Beasley,NYK,29,22.6
Michael Carter-Williams,CHA,26,16.1
Michael Kidd-Gilchrist,CHA,24,25.0
Mike Conley,MEM,30,31.1
Mike James,NOP,27,19.1
Mike Muscala,ATL,26,19.4
Mike Scott,WAS,29,18.2
Miles Plumlee,ATL,29,16.7
Milos Teodosic,LAC,31,25.2
Milton Doyle,BKN,24,10.5
Mirza Teletovic,MIL,32,15.9
Montrezl Harrell,LAC,24,16.4
Myke Henry,MEM,25,18.6
Myles Turner,IND,22,28.8
Nemanja Bjelica,MIN,29,20.4
Nene,HOU,35,14.6
Nerlens Noel,DAL,23,15.7
Nick Young,GSW,32,17.1
Nicolas Batum,CHA,29,31.5
Nik Stauskas,BKN,24,12.2
Nikola Jokic,DEN,23,32.1
Nikola Mirotic,NOP,27,26.5
Nikola Vucevic,ORL,27,30.2
Noah Vonleh,CHI,22,16.4
Norman Powell,TOR,24,15.5
OG Anunoby,TOR,20,20.0
Okaro White,CLE,25,13.3
Omri Casspi,GSW,29,14.0
Otto Porter Jr.,WAS,24,31.8
