PLAYER,TEAM,AGE,DIFFPercent
Kelly Oubre Jr.,WAS,22,6.5
Russell Westbrook,OKC,29,-0.1
Davis Bertans,SAS,25,-4.9
Trevor Ariza,HOU,32,9.0
Courtney Lee,NYK,32,2.2
Ivan Rabb,MEM,21,5.1
Avery Bradley,LAC,27,2.7
DeMar DeRozan,TOR,28,-2.5
Damion Lee,ATL,25,-8.5
Bogdan Bogdanovic,SAC,25,2.6
Timofey Mozgov,BKN,31,-6.5
Kenneth Faried,DEN,28,4.4
Thabo Sefolosha,UTA,33,0.9
Marcus Smart,BOS,24,0.4
Jack Cooley,SAC,26,-5.1
Gary Harris,DEN,23,2.6
Jeremy Lamb,CHA,25,-0.4
Jerryd Bayless,PHI,29,-0.8
George Hill,CLE,31,2.1
Kyle Korver,CLE,37,3.1
De'Aaron Fox,SAC,20,2.9
Frank Ntilikina,NYK,19,-4.8
Rodney Hood,CLE,25,6.2
Omer Asik,CHI,31,-3.5
Mike James,NOP,27,-2.1
JJ Redick,PHI,33,-0.3
Jordan Clarkson,CLE,25,3.6
Alan Williams,PHX,25,4.8
Eric Moreland,DET,26,-3.0
Lou Williams,LAC,31,4.0
JaVale McGee,GSW,30,-3.0
Kawhi Leonard,SAS,26,-0.4
Cheick Diallo,NOP,21,3.8
Delon Wright,TOR,25,-0.8
Dwyane Wade,MIA,36,-2.9
Trevor Booker,IND,30,-1.4
Luke Babbitt,MIA,28,5.9
Joe Johnson,HOU,36,-0.8
Andrew Harrison,MEM,23,-2.2
Terry Rozier,BOS,24,-2.0
Jarrett Jack,NYK,34,7.3
Isaiah Canaan,PHX,26,2.3
C.J. Williams,LAC,28,-4.2
Shabazz Napier,POR,26,-1.3
Tomas Satoransky,WAS,26,2.8
Tyreke Evans,MEM,28,0.2
Ivica Zubac,LAL,21,-0.6
Jordan Mickey,MIA,23,-6.3
James Ennis III,DET,27,-0.3
Lucas Nogueira,TOR,25,-1.8
OG Anunoby,TOR,20,0.8
Willie Reed,DET,27,-5.0
Travis Wear,LAL,27,-2.1
J.J. Barea,DAL,33,6.9
Maurice Harkless,POR,24,-2.9
Aaron Harrison,DAL,23,12.9
T.J. McConnell,PHI,26,-7.5
Tyler Ulis,PHX,22,5.1
Andre Iguodala,GSW,34,-0.5
Garrett Temple,SAC,31,-0.9
Paul Zipser,CHI,24,3.2
Torrey Craig,DEN,27,-0.7
Rajon Rondo,NOP,32,8.5
Darren Collison,IND,30,3.1
Jerian Grant,CHI,25,-2.4
Johnny O'Bryant III,CHA,24,9.2
Jameer Nelson,DET,36,1.9
Patrick Patterson,OKC,29,0.0
Pat Connaughton,POR,25,-6.1
Tyler Cavanaugh,ATL,24,8.3
D.J. Augustin,ORL,30,2.5
Jose Calderon,CLE,36,2.3
Patty Mills,SAS,29,3.4
JaKarr Sampson,SAC,25,-13.5
Derrick Jones Jr.,MIA,21,-6.3
Derrick Rose,MIN,29,6.5
Jordan Crawford,NOP,29,23.9
Eric Gordon,HOU,29,-1.3
Okaro White,CLE,25,3.6
Shelvin Mack,ORL,27,4.3
Tarik Black,HOU,26,-3.7
Troy Daniels,PHX,26,3.6
Georgios Papagiannis,POR,20,17.4
Boban Marjanovic,LAC,29,-4.0
Josh Huestis,OKC,26,-5.9
JR Smith,CLE,32,9.3
DeAndre' Bembry,ATL,23,8.7
Fred VanVleet,TOR,24,-1.2
Brandan Wright,HOU,30,-4.4
Bryn Forbes,SAS,24,3.8
Wayne Ellington,MIA,30,1.0
Solomon Hill,NOP,27,-10.2
Jaylen Morris,ATL,22,2.3
Quinn Cook,GSW,25,3.5
Joffrey Lauvergne,SAS,26,5.6
Dorian Finney-Smith,DAL,24,-14.2
Briante Weber,MEM,25,20.0
Mirza Teletovic,MIL,32,-1.3
Ante Zizic,CLE,21,0.1
Luke Kennard,DET,21,5.3
Sindarius Thornwell,LAC,23,0.3
Isaiah Hicks,NYK,23,6.1
Shaquille Harrison,PHX,24,1.8
Mike Scott,WAS,29,2.0
Semi Ojeleye,BOS,23,-0.3
Tyler Dorsey,ATL,22,3.3
Doug McDermott,DAL,26,0.1
Michael Carter-Williams,CHA,26,0.5
Jonas Jerebko,UTA,31,1.8
Omri Casspi,GSW,29,-3.1
Mario Chalmers,MEM,31,4.5
Cameron Payne,CHI,23,3.9
Iman Shumpert,SAC,27,11.8
Emmanuel Mudiay,NYK,22,5.4
Willy Hernangomez,CHA,23,2.4
Marquis Teague,MEM,25,30.9
Dwayne Bacon,CHA,22,0.5
Royce O'Neale,UTA,24,-3.8
Nik Stauskas,BKN,24,2.0
Justin Jackson,SAC,23,1.9
Markelle Fultz,PHI,19,3.4
Marshall Plumlee,MIL,25,0.0
Matthew Dellavedova,MIL,27,8.6
Alex Abrines,OKC,24,-0.1
Ian Clark,NOP,27,-0.3
Patrick McCaw,GSW,22,1.6
Alex Caruso,LAL,24,-3.8
Shaun Livingston,GSW,32,-0.7
Myke Henry,MEM,25,2.8
Chandler Parsons,MEM,29,3.5
Trey Burke,NYK,25,-2.2
Vince Carter,SAC,41,-6.5
Timothe Luwawu-Cabarrot,PHI,22,-0.6
Tyus Jones,MIN,21,8.1
James Webb III,BKN,24,2.5
Andrew Bogut,LAL,33,-11.3
Treveon Graham,CHA,24,0.5
Ben McLemore,MEM,25,2.6
Devin Harris,DEN,35,-0.9
Zach LaVine,CHI,23,1.6
Marco Belinelli,PHI,32,6.4
Juancho Hernangomez,DEN,22,-4.3
