PLAYER,TEAM,AGE,FGM,FGA,FGPercent
Clint Capela,HOU,23,0.1,0.1,55.6
Cody Zeller,CHA,25,0.0,0.1,50.0
Cole Aldrich,MIN,29,0.0,0.0,0.0
Corey Brewer,OKC,32,0.0,0.1,0.0
Cory Joseph,IND,26,0.4,0.9,40.9
Courtney Lee,NYK,32,0.6,1.2,46.5
Cristiano Felicio,CHI,25,0.0,0.2,11.1
D'Angelo Russell,BKN,22,0.7,1.5,43.1
D.J. Augustin,ORL,30,0.1,0.3,44.4
D.J. Wilson,MIL,22,0.0,0.0,0.0
Dakari Johnson,OKC,22,0.1,0.2,60.0
Damian Jones,GSW,22,0.0,0.0,0.0
Damian Lillard,POR,27,0.5,1.2,40.0
Damien Wilkins,IND,38,0.2,0.4,66.7
Damion Lee,ATL,25,0.5,1.0,50.0
Damyean Dotson,NYK,23,0.3,0.4,60.0
Daniel Hamilton,OKC,22,0.3,0.3,100
Daniel Theis,BOS,25,0.1,0.2,53.3
Danilo Gallinari,LAC,29,0.3,1.1,30.4
Danny Green,SAS,30,0.1,0.4,24.0
Dante Cunningham,BKN,30,0.0,0.2,16.7
Dante Exum,UTA,22,0.1,0.2,50.0
Danuel House,PHX,24,0.1,0.1,100
Dario Saric,PHI,23,0.1,0.4,33.3
Darius Miller,NOP,28,0.2,0.4,55.6
Darrell Arthur,DEN,30,0.1,0.4,16.7
Darren Collison,IND,30,0.2,0.3,50.0
Darrun Hilliard,SAS,24,0.0,0.1,0.0
David Nwaba,CHI,25,0.1,0.2,28.6
David Stockton,UTA,26,0.0,0.0,0.0
David West,GSW,37,0.4,0.8,56.6
Davis Bertans,SAS,25,0.1,0.2,57.1
Davon Reed,PHX,22,0.1,0.2,66.7
De'Aaron Fox,SAC,20,0.4,1.2,30.9
DeAndre Jordan,LAC,29,0.0,0.0,33.3
DeAndre Liggins,NOP,30,0.0,0.0,0.0
DeAndre' Bembry,ATL,23,0.1,0.5,27.3
DeMar DeRozan,TOR,28,1.5,3.6,41.6
DeMarcus Cousins,NOP,27,0.4,0.7,48.6
DeMarre Carroll,BKN,31,0.3,0.7,36.7
Dejounte Murray,SAS,21,0.5,1.4,34.0
Delon Wright,TOR,25,0.1,0.2,36.4
Demetrius Jackson,PHI,23,0.0,0.0,0.0
Dennis Schroder,ATL,24,0.9,2.0,42.2
Dennis Smith Jr.,DAL,20,0.2,1.0,19.0
Denzel Valentine,CHI,24,0.4,1.0,43.4
Derrick Favors,UTA,26,0.3,0.8,35.7
Derrick Jones Jr.,MIA,21,0.0,0.1,0.0
Derrick Rose,MIN,29,0.3,0.6,41.7
Derrick Walton Jr.,MIA,23,0.0,0.1,0.0
Derrick White,SAS,23,0.1,0.3,25.0
Derrick Williams,LAL,26,0.0,0.0,0.0
Devin Booker,PHX,21,1.2,2.9,40.8
Devin Harris,DEN,35,0.1,0.2,42.9
Dewayne Dedmon,ATL,28,0.4,0.9,44.4
Deyonta Davis,MEM,21,0.2,0.4,42.9
Dillon Brooks,MEM,22,0.3,0.9,35.3
Dion Waiters,MIA,26,0.2,0.5,42.9
Dirk Nowitzki,DAL,39,0.8,1.6,48.0
Domantas Sabonis,IND,21,0.2,0.6,38.6
Donovan Mitchell,UTA,21,0.5,1.4,36.9
Dorian Finney-Smith,DAL,24,0.0,0.1,0.0
Doug McDermott,DAL,26,0.1,0.3,34.8
Dragan Bender,PHX,20,0.0,0.1,20.0
Draymond Green,GSW,28,0.2,0.6,39.0
Dwayne Bacon,CHA,22,0.2,0.6,33.3
Dwight Buycks,DET,29,0.2,0.5,42.9
Dwight Howard,CHA,32,0.2,0.5,36.8
Dwight Powell,DAL,26,0.0,0.1,33.3
Dwyane Wade,MIA,36,0.5,1.7,27.1
E'Twaun Moore,NOP,29,0.4,0.9,43.9
Ed Davis,POR,28,0.1,0.1,44.4
Ekpe Udoh,UTA,30,0.1,0.2,25.0
Elfrid Payton,PHX,24,0.4,0.9,39.0
Emeka Okafor,NOP,35,0.2,0.6,38.5
Emmanuel Mudiay,NYK,22,0.3,1.0,35.0
Enes Kanter,NYK,25,0.3,0.6,45.7
Eric Bledsoe,MIL,28,0.5,1.1,43.4
Eric Gordon,HOU,29,0.1,0.3,30.4
Eric Moreland,DET,26,0.0,0.1,16.7
Erik McCree,UTA,24,0.0,0.0,0.0
Ersan Ilyasova,PHI,30,0.3,0.5,50.0
Evan Fournier,ORL,25,0.4,1.1,33.9
Evan Turner,POR,29,0.8,1.9,45.3
Frank Kaminsky,CHA,24,0.5,1.1,42.2
Frank Mason,SAC,24,0.2,0.6,35.5
Frank Ntilikina,NYK,19,0.2,0.7,31.5
Fred VanVleet,TOR,24,0.0,0.2,5.9
Furkan Korkmaz,PHI,20,0.0,0.3,0.0
Garrett Temple,SAC,31,0.2,0.5,46.9
Gary Harris,DEN,23,0.5,1.0,47.8
Gary Payton II,LAL,25,0.0,0.2,0.0
George Hill,CLE,31,0.3,0.8,44.9
Georges Niang,UTA,24,0.0,0.0,0.0
Georgios Papagiannis,POR,20,0.3,0.4,66.7
Gerald Green,HOU,32,0.3,0.6,52.2
Gian Clavell,DAL,24,0.0,0.1,0.0
Giannis Antetokounmpo,MIL,23,0.6,1.8,35.7
Glenn Robinson III,IND,24,0.2,0.3,60.0
Goran Dragic,MIA,31,0.9,2.1,44.2
Gordon Hayward,BOS,28,0.0,0.0,0.0
Gorgui Dieng,MIN,28,0.3,0.6,51.1
