PLAYER,TEAM,AGE,DIFFPercent
OG Anunoby,TOR,20,0.4
Marquese Chriss,PHX,20,4.4
Tyler Ulis,PHX,22,1.0
Anthony Tolliver,DET,32,-5.4
T.J. McConnell,PHI,26,-1.3
Maurice Harkless,POR,24,-4.0
Troy Daniels,PHX,26,1.5
Lauri Markkanen,CHI,20,6.4
Patty Mills,SAS,29,-0.8
Derrick Favors,UTA,26,0.7
Travis Wear,LAL,27,-18.3
James Ennis III,DET,27,-7.3
Jameer Nelson,DET,36,-0.4
DeMar DeRozan,TOR,28,2.6
Shabazz Napier,POR,26,0.9
Doug McDermott,DAL,26,-5.1
Joe Harris,BKN,26,-3.0
Sindarius Thornwell,LAC,23,-2.4
Nikola Vucevic,ORL,27,0.6
Emmanuel Mudiay,NYK,22,4.9
Gerald Green,HOU,32,-2.6
Ben McLemore,MEM,25,5.7
Frank Mason,SAC,24,-0.1
Rodney Hood,CLE,25,5.0
Trey Lyles,DEN,22,-0.3
DeAndre Jordan,LAC,29,-1.1
Zach LaVine,CHI,23,-3.3
Trey Burke,NYK,25,-5.4
Mario Chalmers,MEM,31,-5.8
Rudy Gobert,UTA,25,0.3
Dwayne Bacon,CHA,22,0.0
Rondae Hollis-Jefferson,BKN,23,0.3
Allen Crabbe,BKN,25,-4.6
Kyle Anderson,SAS,24,-4.2
Ryan Anderson,HOU,29,4.0
Jamil Wilson,LAC,27,5.0
Ersan Ilyasova,PHI,30,4.9
Tim Frazier,WAS,27,5.1
Luke Kennard,DET,21,-3.4
John Collins,ATL,20,0.5
D.J. Augustin,ORL,30,3.8
Kevin Love,CLE,29,3.8
Zach Randolph,SAC,36,3.1
Joel Embiid,PHI,24,-7.5
Justin Jackson,SAC,23,-0.7
Montrezl Harrell,LAC,24,-3.8
Isaiah Taylor,ATL,23,0.1
Lance Stephenson,IND,27,-0.6
Isaiah Canaan,PHX,26,-6.8
Jordan Crawford,NOP,29,39.8
Pascal Siakam,TOR,24,1.9
DeAndre' Bembry,ATL,23,2.4
Frank Ntilikina,NYK,19,-0.2
D'Angelo Russell,BKN,22,12.6
Tyus Jones,MIN,21,-0.8
Torrey Craig,DEN,27,0.0
Luke Babbitt,MIA,28,0.8
Rodney Purvis,ORL,24,-7.5
Wayne Selden,MEM,23,-7.5
Devin Harris,DEN,35,4.4
Goran Dragic,MIA,31,-3.6
Brook Lopez,LAL,30,1.9
Trevor Booker,IND,30,-4.1
Matthew Dellavedova,MIL,27,-7.5
Kelly Olynyk,MIA,26,-3.2
Malcolm Delaney,ATL,29,0.3
Alex Abrines,OKC,24,11.5
Jerami Grant,OKC,24,0.5
Rodney McGruder,MIA,26,10.0
Jordan Bell,GSW,23,3.4
Mike James,NOP,27,-7.8
Jawun Evans,LAC,21,0.2
Myles Turner,IND,22,-0.3
Briante Weber,MEM,25,13.7
Jose Calderon,CLE,36,2.3
Bobby Portis,CHI,23,-2.3
Maxi Kleber,DAL,26,1.9
Lance Thomas,NYK,29,-5.0
Langston Galloway,DET,26,3.6
Pat Connaughton,POR,25,2.0
Jack Cooley,SAC,26,-39.0
Dante Exum,UTA,22,6.0
Jaylen Morris,ATL,22,2.5
Timothe Luwawu-Cabarrot,PHI,22,-0.7
JaKarr Sampson,SAC,25,-1.7
Bryn Forbes,SAS,24,-4.5
Dwight Howard,CHA,32,-0.4
Larry Nance Jr.,CLE,25,-2.4
Vince Carter,SAC,41,12.1
Jonathan Isaac,ORL,20,-0.4
Dante Cunningham,BKN,30,3.5
Ian Clark,NOP,27,-9.6
Mason Plumlee,DEN,28,4.8
Juancho Hernangomez,DEN,22,1.6
Paul Zipser,CHI,24,8.3
Fred VanVleet,TOR,24,1.1
Josh Gray,PHX,24,33.3
Tyler Dorsey,ATL,22,2.7
Dwight Buycks,DET,29,-0.1
Andre Drummond,DET,24,3.5
Nene,HOU,35,-6.6
Wes Iwundu,ORL,23,-7.3
Corey Brewer,OKC,32,-1.2
Josh Huestis,OKC,26,-3.4
Dorian Finney-Smith,DAL,24,20.9
Quinn Cook,GSW,25,2.0
Treveon Graham,CHA,24,2.4
Danuel House,PHX,24,-7.4
Delon Wright,TOR,25,-5.2
Robin Lopez,CHI,30,0.6
Troy Williams,NYK,23,-0.5
Marcin Gortat,WAS,34,1.0
Justin Anderson,PHI,24,2.4
Semi Ojeleye,BOS,23,-8.1
Royce O'Neale,UTA,24,-5.9
Chandler Parsons,MEM,29,5.7
Isaiah Whitehead,BKN,23,-5.7
Davis Bertans,SAS,25,-5.7
Kobi Simmons,MEM,20,1.7
Manu Ginobili,SAS,40,-7.2
Myke Henry,MEM,25,-5.1
Sterling Brown,MIL,23,0.1
Shaquille Harrison,PHX,24,-5.8
Derrick Rose,MIN,29,3.6
Ivan Rabb,MEM,21,6.0
Domantas Sabonis,IND,21,-0.1
Raymond Felton,OKC,33,-6.1
Marc Gasol,MEM,33,-1.9
John Henson,MIL,27,2.9
Kevon Looney,GSW,22,2.5
Jusuf Nurkic,POR,23,4.2
Nick Young,GSW,32,4.9
Jamel Artis,ORL,25,-9.1
Ron Baker,NYK,25,-0.5
Markel Brown,HOU,26,1.3
Derrick White,SAS,23,-15.1
Dirk Nowitzki,DAL,39,4.0
Nigel Hayes,SAC,23,-33.3
Tony Allen,NOP,36,-6.8
Solomon Hill,NOP,27,-23.6
Kenneth Faried,DEN,28,6.6
Enes Kanter,NYK,25,8.1
Alex Caruso,LAL,24,-7.8
Gorgui Dieng,MIN,28,2.8
Zach Collins,POR,20,5.4
Michael Carter-Williams,CHA,26,3.6
Kyle Collinsworth,DAL,26,-1.7
Quincy Acy,BKN,27,2.1
Raul Neto,UTA,25,-6.4
CJ Miles,TOR,31,-3.8
Noah Vonleh,CHI,22,-2.9
Malachi Richardson,TOR,22,9.0
Andrew White III,ATL,24,11.4
Bam Adebayo,MIA,20,-2.4
Brice Johnson,MEM,23,-1.4
Ramon Sessions,WAS,31,-16.5
Cedi Osman,CLE,22,-1.1
Mike Scott,WAS,29,-4.7
Tyler Ennis,LAL,23,-8.0
Jalen Jones,DAL,24,21.4
Jodie Meeks,WAS,30,3.6
Gian Clavell,DAL,24,9.6
Shaun Livingston,GSW,32,0.3
Cristiano Felicio,CHI,25,0.4
Tony Parker,SAS,35,-2.3
Jason Terry,MIL,40,-4.1
Shane Larkin,BOS,25,-1.4
Jason Smith,WAS,32,-10.4
Kay Felder,DET,23,-1.8
Richard Jefferson,DEN,37,17.9
Derrick Jones Jr.,MIA,21,6.2
Zaza Pachulia,GSW,34,3.6
Jamal Crawford,MIN,38,2.7
Nerlens Noel,DAL,23,6.3
Jared Dudley,PHX,32,0.3
Alec Burks,UTA,26,8.0
Norman Powell,TOR,24,2.7
Ryan Arcidiacono,CHI,24,-15.2
Aaron Brooks,MIN,33,7.4
Marreese Speights,ORL,30,-2.9
Terrance Ferguson,OKC,19,-0.4
David West,GSW,37,-2.4
Patrick Patterson,OKC,29,4.0
Vander Blue,LAL,25,25.1
Brandon Paul,SAS,26,1.4
Richaun Holmes,PHI,24,-0.3
Malcolm Miller,TOR,25,-18.0
Patrick McCaw,GSW,22,-1.2
Marcus Georges-Hunt,MIN,24,5.6
Josh Magette,ATL,28,4.0
Aron Baynes,BOS,31,-13.5
Darrun Hilliard,SAS,24,-4.1
Okaro White,CLE,25,-12.6
Arron Afflalo,ORL,32,5.6
Abdel Nader,BOS,24,8.0
DeAndre Liggins,NOP,30,6.3
Daniel Theis,BOS,25,3.1
Alex Len,PHX,24,5.2
Mirza Teletovic,MIL,32,-1.7
Nik Stauskas,BKN,24,-6.1
Lorenzo Brown,TOR,27,-0.4
Jakob Poeltl,TOR,22,2.1
Tyler Cavanaugh,ATL,24,9.7
Kyle O'Quinn,NYK,28,-3.7
Glenn Robinson III,IND,24,-6.5
Jonas Jerebko,UTA,31,4.6
Tony Bradley,UTA,20,22.5
Jabari Bird,BOS,23,-7.2
Matt Costello,SAS,24,31.1
David Stockton,UTA,26,28.7
Josh McRoberts,DAL,31,32.3
Tyler Zeller,MIL,28,6.8
Malik Monk,CHA,20,-5.0
Pau Gasol,SAS,37,3.8
Jarrett Allen,BKN,19,0.0
Ekpe Udoh,UTA,30,-5.3
Ian Mahinmi,WAS,31,-2.5
Thon Maker,MIL,21,3.2
Miles Plumlee,ATL,29,7.5
Bismack Biyombo,ORL,25,0.8
Tyson Chandler,PHX,35,2.3
Khem Birch,ORL,25,0.5
Jon Leuer,DET,28,7.6
Quincy Pondexter,CHI,30,7.6
Tarik Black,HOU,26,-5.3
Hassan Whiteside,MIA,28,9.4
TJ Leaf,IND,20,-2.6
Henry Ellenson,DET,21,0.9
Kosta Koufos,SAC,29,0.8
Sam Dekker,LAC,23,2.1
Omri Casspi,GSW,29,-9.2
Jameel Warney,DAL,24,-11.1
Joe Young,IND,25,-14.8
Kadeem Allen,BOS,25,-14.3
Jonas Valanciunas,TOR,25,5.5
Cheick Diallo,NOP,21,6.9
Brandon Jennings,MIL,28,30.0
Rashad Vaughn,ORL,21,0.5
Channing Frye,LAL,34,11.7
Ed Davis,POR,28,5.3
Damyean Dotson,NYK,23,-9.5
Isaiah Hicks,NYK,23,-7.2
Eric Moreland,DET,26,2.2
Jahlil Okafor,BKN,22,5.7
Timofey Mozgov,BKN,31,6.4
Sean Kilpatrick,CHI,28,-3.1
Amir Johnson,PHI,30,-4.5
Alec Peters,PHX,22,5.5
Milton Doyle,BKN,24,-20.6
James Young,PHI,22,-3.2
Gary Payton II,LAL,25,0.4
JaVale McGee,GSW,30,3.6
Shabazz Muhammad,MIL,25,-0.1
Jordan Mickey,MIA,23,26.0
John Holland,CLE,29,-3.6
Emeka Okafor,NOP,35,8.3
Damien Wilkins,IND,38,-10.8
Davon Reed,PHX,22,1.5
Salah Mejri,DAL,31,8.9
Bobby Brown,HOU,33,10.7
Luke Kornet,NYK,22,25.6
Cody Zeller,CHA,25,-20.0
