PLAYER,TEAM,GP,< 5 Att,< 5 %,5 - 9 Att,5 - 9 %,10 - 14 Att,10 - 14 %,15 - 19 Att,15 - 19 %,20 - 24 Att,20 - 24 %,25 - 29 Att,25 - 29 %,0 - 2 Att 2,0 -2 % 2,2 - 4 Att 2,2 - 4 % 2,4 - 6 Att 2,4 - 6 % 2,6 + Att 2,6 + % 2,0 - 2 Att 3,0 -2 % 3,2 - 4 Att 3,2 - 4 % 3,4 - 6 Att 3,4 - 6 % 3,6 + Att 3,6 + % 3,2P Adj,3P Adj
Eric Moreland,DET,63,3,60,0.4,37.5,0.5,50,0.8,41.7,2.2,38.2,1.8,33,69,58,150,58,74,58.1,31,45.2,0.001,0.001,36,30.6,99,38.4,82,31.7,-3,2.2
Ersan Ilyasova,PHI,77,2.9,61.4,1.8,56.4,0.9,43.9,0.5,36.6,2.5,46.1,1.6,35.8,73,49.3,244,56.6,112,60.7,32,68.8,1,0.001,29,41.4,104,36.5,144,45.1,-3,4.9
Evan Fournier,ORL,57,4,60.5,1.2,45.1,1.1,33.9,1.1,51.6,2.6,42.4,4,35.8,32,65.6,210,60.5,104,58.7,37,45.9,1,0.001,30,33.3,145,32.4,156,44.9,4.5,3.3
Evan Turner,POR,74,1.1,61.2,1.1,43.4,1.9,45.3,1.4,45.2,1.4,33,0.4,34.4,63,57.1,190,50.5,151,45.7,31,51.6,1,0.001,0.001,0.001,21,23.8,96,34.4,5.5,-0.2
Frank Kaminsky,CHA,75,2.1,60,1.7,38.8,1.1,42.2,0.6,20.9,0.7,32.1,2.7,40.1,35,42.9,210,49,80,46.3,23,47.8,0.001,0.001,7,0.001,50,30,190,42.6,-2.4,-1.8
Frank Mason,SAC,50,2.6,43.4,1,31.3,0.6,35.5,1,31.9,1.2,49.2,1,31.3,28,39.3,151,39.7,46,63,27,25.9,0.001,0.001,16,25,40,47.5,27,25.9,2.8,6.3
Frank Ntilikina,NYK,73,1.2,51.1,0.3,19,0.7,31.5,1.1,29.5,1.4,36.2,1.2,35.6,55,70.9,134,39.6,87,39.1,38,47.4,2,100,6,0.001,54,35.2,79,31.6,6.9,-0.1
Fred VanVleet,TOR,71,2.9,50.7,0.4,32.3,0.2,5.9,0.2,33.3,1.6,44.6,1.8,40.3,28,46.4,134,45.5,31,41.9,10,70,2,50,26,23.1,54,33.3,159,47.2,-4.8,-0.2
Garrett Temple,SAC,65,1.3,56.5,0.3,27.8,0.5,46.9,1.3,37.8,2.3,38.9,1.6,40,68,58.8,92,48.9,83,42.2,33,51.5,2,0.001,12,16.7,85,37.6,122,42.6,-1.2,1.1
Gary Harris,DEN,65,4.1,66.8,0.9,41.4,1,47.8,1.2,37.3,3.3,40.6,3.1,39.7,31,58.1,219,59.8,120,56.7,52,71.2,1,0.001,21,33.3,196,37.2,160,43.8,-0.9,3.5
